,INDUSTRY,MKT CAP,DIV YIELD,CHG PERCENT,VOL,SECTOR,STOCKS
0,Advertising/Marketing Services ,57.611,0,1.46,2.433,Commercial Services,22
1,Aerospace & Defense ,578.856,0,−1.27,19.519,Electronic Technology,49
2,Agricultural Commodities/Milling ,68.492,0,−0.72,3.463,Process Industries,27
3,Air Freight/Couriers ,222.335,0,0.32,4.983,Transportation,13
4,Airlines ,87.215,0,−0.72,12.737,Transportation,19
5,Alternative Power Generation ,28.742,0,−1.25,5.413,Utilities,9
6,Aluminum ,13.408,0,−0.96,3.705,Non-Energy inerals,6
7,Apparel/Footwear ,229.975,0,−0.22,5.417,Consumer Non-Durables,35
8,Apparel/Footwear Retail ,191.281,0,0.20,3.308,Retail Trade,36
9,Auto Parts: OEM ,77.417,0,−2.57,1.788,Producer anufacturing,31
10,Automotive Aftermarket ,16.463,0,−3.29,2.447,Consumer Durables,7
11,Beverages: Alcoholic ,370.275,0,−2.60,4.129,Consumer Non-Durables,13
12,Beverages: Non-Alcoholic ,523.014,0,−0.47,7.914,Consumer Non-Durables,16
13,Biotechnology ,1054.565,0,−0.45,4.401,Health Technology,376
14,Broadcasting ,107.554,0,−0.09,10.462,Consumer Services,28
15,Building Products ,123.569,0,−0.09,1.564,Producer anufacturing,28
16,Cable/Satellite TV ,735.766,0,0.46,9.068,Consumer Services,18
17,Casinos/Gaming ,97.451,0,−4.34,6.645,Consumer Services,19
18,Catalog/Specialty Distribution ,2.834,0,3.65,0.723059,Retail Trade,4
19,Chemicals: Agricultural ,83.669,0,−0.14,3.14,Process Industries,19
20,Chemicals: Major Diversified ,80.867,0,−0.42,3.062,Process Industries,10
21,Chemicals: Specialty ,373.466,0,−0.30,2.527,Process Industries,51
22,Coal ,3.03,0,−1.38,0.430668,Energy inerals,14
23,Commercial Printing/Forms ,20.393,0,0.92,1.198,Commercial Services,10
24,Computer Communications ,82.689,0,1.91,0.7885359999999999,Electronic Technology,14
25,Computer Peripherals ,72.165,0,1.69,3.575,Electronic Technology,16
26,Computer Processing Hardware ,87.787,0,1.49,8.727,Electronic Technology,8
27,Construction Materials ,79.017,0,−1.85,1.483,Non-Energy inerals,14
28,Consumer Sundries ,3.994,0,−2.13,0.181531,Consumer Non-Durables,3
29,Containers/Packaging ,139.198,0,−1.05,4.261,Process Industries,21
30,Contract Drilling ,4.729,0,−1.74,6.936,Industrial Services,11
31,Data Processing Services ,624.537,0,0.62,5.845,Technology Services,42
32,Department Stores ,12.341,0,−1.76,5.544,Retail Trade,4
33,Discount Stores ,79.69,0,−0.67,1.373,Retail Trade,5
34,Drugstore Chains ,119.348,0,−1.09,9.829,Retail Trade,6
35,Electric Utilities ,1629.297,0,0.07,2.288,Utilities,91
