,INDUSTRY,MKT CAP,DIV YIELD,CHG PERCENT,VOL,SECTOR,STOCKS
0,Advertising/Marketing Services ,57.565B,—,1.91%,1.398M,Commercial Services,23
1,Aerospace_Defense ,577.108B,—,2.14%,15.459M,Electronic Technology,49
2,Agricultural Commodities/Milling ,63.009B,—,4.27%,2.126M,Process Industries,26
3,Air Freight/Couriers ,193.045B,—,0.61%,1.796M,Transportation,13
4,Airlines ,90.041B,—,5.30%,24.817M,Transportation,19
5,Alternative Power Generation ,27.615B,—,0.31%,346.267K,Utilities,9
6,Aluminum ,13.097B,—,4.14%,2.183M,Non-Energy Minerals,6
7,Apparel/Footwear ,226.989B,—,1.82%,3.329M,Consumer Non-Durables,35
8,Apparel/Footwear Retail ,185.38B,—,1.36%,3.282M,Retail Trade,36
9,Auto Parts: OEM ,75.178B,—,2.36%,1.638M,Producer Manufacturing,30
10,Automotive Aftermarket ,14.813B,—,2.40%,1.738M,Consumer Durables,7
11,Beverages: Alcoholic ,374.977B,—,2.50%,4.042M,Consumer Non-Durables,14
12,Beverages: Non-Alcoholic ,502.786B,—,1.86%,8.523M,Consumer Non-Durables,16
13,Biotechnology ,1087.536B,—,−0.68%,1.876M,Health Technology,372
14,Broadcasting ,101.808B,—,3.14%,6.356M,Consumer Services,27
15,Building Products ,103.362B,—,0.85%,1.008M,Producer Manufacturing,27
16,Cable/Satellite TV ,733.397B,—,4.02%,12.321M,Consumer Services,18
17,Casinos/Gaming ,87.429B,—,1.88%,6.145M,Consumer Services,20
18,Catalog/Specialty Distribution ,3.037B,—,−1.42%,859.602K,Retail Trade,4
19,Chemicals: Agricultural ,78.293B,—,2.58%,1.492M,Process Industries,19
20,Chemicals: Major Diversified ,77.364B,—,2.67%,2.215M,Process Industries,10
21,Chemicals: Specialty ,360.654B,—,1.76%,1.275M,Process Industries,51
22,Coal ,2.926B,—,3.11%,423.495K,Energy Minerals,14
23,Commercial Printing/Forms ,19.677B,—,2.89%,358.696K,Commercial Services,10
24,Computer Communications ,79.763B,—,−1.12%,985.57K,Electronic Technology,14
25,Computer Peripherals ,69.41B,—,0.53%,1.62M,Electronic Technology,16
26,Computer Processing Hardware ,80.994B,—,1.40%,5.055M,Electronic Technology,8
27,Construction Materials ,77.523B,—,2.09%,804.979K,Non-Energy Minerals,14
28,Consumer Sundries ,3.801B,—,0.23%,80.364K,Consumer Non-Durables,3
29,Containers/Packaging ,135.945B,—,2.33%,1.79M,Process Industries,21
30,Contract Drilling ,4.566B,—,3.40%,6.271M,Industrial Services,11
31,Data Processing Services ,595.752B,—,−0.51%,3.931M,Technology Services,42
32,Department Stores ,12.571B,—,1.16%,5.983M,Retail Trade,4
33,Discount Stores ,78.338B,—,−0.19%,1.37M,Retail Trade,5
34,Drugstore Chains ,118.671B,—,2.35%,10.014M,Retail Trade,6
35,Electric Utilities ,1551.092B,—,1.42%,1.666M,Utilities,92
36,Electrical Products ,226.854B,—,0.59%,1.355M,Producer Manufacturing,39
37,Electronic Components ,126.749B,—,0.44%,2.222M,Electronic Technology,37
38,Electronic Equipment/Instruments ,159.373B,—,−0.25%,1.047M,Electronic Technology,41
39,Electronic Production Equipment ,125.412B,—,0.32%,1.224M,Electronic Technology,29
40,Electronics Distributors ,15.782B,—,0.94%,416.806K,Distribution Services,9
41,Electronics/Appliance Stores ,22.226B,—,−0.02%,1.671M,Retail Trade,3
42,Electronics/Appliances ,129.552B,—,2.76%,4.76M,Consumer Durables,17
43,Engineering & Construction ,48.043B,—,1.61%,538.112K,Industrial Services,33
44,Environmental Services ,118.174B,—,1.95%,1.1M,Industrial Services,20
45,Finance/Rental/Leasing ,840.409B,—,0.59%,5.04M,Finance,85
46,Financial Conglomerates ,310.621B,—,4.26%,11.963M,Finance,248
47,Financial Publishing/Services ,173.183B,—,−0.36%,603.343K,Commercial Services,3
48,Food Distributors ,37.576B,—,2.88%,2.204M,Distribution Services,9
49,Food Retail ,416.059B,—,2.12%,13.917M,Retail Trade,12
50,Food: Major Diversified ,222.277B,—,1.91%,4.124M,Consumer Non-Durables,13
51,Food: Meat/Fish/Dairy ,60.031B,—,3.45%,1.904M,Consumer Non-Durables,8
52,Food: Specialty/Candy ,136.348B,—,1.53%,443.04K,Consumer Non-Durables,30
53,Forest Products ,18.502B,—,0.90%,908.397K,Non-Energy Minerals,6
54,Gas Distributors ,92.161B,—,2.36%,1.111M,Utilities,19
55,Home Furnishings ,22.287B,—,1.17%,1.487M,Consumer Durables,17
56,Home Improvement Chains ,378.871B,—,1.02%,2.851M,Retail Trade,3
57,Homebuilding ,110.051B,—,2.70%,1.624M,Consumer Durables,26
58,Hospital/Nursing Management ,74.484B,—,1.80%,1.217M,Health Services,16
59,Hotels/Resorts/Cruise lines ,126.344B,—,3.50%,10.717M,Consumer Services,21
60,Household/Personal Care ,734.976B,—,1.08%,3.83M,Consumer Non-Durables,23
61,Industrial Conglomerates ,231.228B,—,1.06%,1.938M,Producer Manufacturing,11
62,Industrial Machinery ,457.06B,—,0.57%,1.914M,Producer Manufacturing,69
63,Industrial Specialties ,118.274B,—,1.38%,446.225K,Process Industries,26
64,Information Technology Services ,1189.901B,—,0.10%,4.403M,Technology Services,116
65,Insurance Brokers/Services ,195.331B,—,1.35%,730.707K,Finance,16
66,Integrated Oil ,857.426B,—,2.52%,8.519M,Energy Minerals,33
67,Internet Retail ,2631.826B,—,0.02%,9.397M,Retail Trade,25
68,Internet Software/Services ,3458.954B,—,1.01%,6.55M,Technology Services,106
69,Investment Banks/Brokers ,471.543B,—,2.39%,4.262M,Finance,47
70,Investment Managers ,494.376B,—,1.43%,1.186M,Finance,124
71,Investment Trusts/Mutual Funds ,197.306B,—,0.37%,2.817M,Miscellaneous,2831
72,Life/Health Insurance ,159.627B,—,2.40%,2.141M,Finance,25
73,Major Banks ,1763.879B,—,3.56%,19.903M,Finance,65
74,Major Telecommunications ,623.996B,—,1.10%,18.534M,Communications,19
75,Managed Health Care ,504.705B,—,0.03%,1.869M,Health Services,8
76,Marine Shipping ,19.115B,—,4.53%,2.448M,Transportation,51
77,Medical Distributors ,74.968B,—,1.10%,1.079M,Distribution Services,9
78,Medical Specialties ,1514.406B,—,−0.35%,1.816M,Health Technology,197
79,Medical/Nursing Services ,101.357B,—,0.42%,466.631K,Health Services,44
80,Metal Fabrication ,17.423B,—,2.74%,258.412K,Producer Manufacturing,24
81,Miscellaneous ,1.066B,—,3.54%,4.479M,Miscellaneous,11
82,Miscellaneous Commercial Services ,348.204B,—,−0.10%,764.237K,Commercial Services,136
83,Miscellaneous Manufacturing ,31.201B,—,1.45%,629.234K,Producer Manufacturing,15
84,Motor Vehicles ,653.683B,—,5.50%,21.171M,Consumer Durables,16
85,Movies/Entertainment ,309.909B,—,1.85%,10.291M,Consumer Services,38
86,Multi-Line Insurance ,1086.042B,—,2.35%,2.549M,Finance,30
87,Office Equipment/Supplies ,30.501B,—,1.68%,4.356M,Producer Manufacturing,9
88,Oil & Gas Pipelines ,391.165B,—,0.68%,4.149M,Industrial Services,38
89,Oil & Gas Production ,266.28B,—,2.83%,5.607M,Energy Minerals,90
90,Oil Refining/Marketing ,97.45B,—,5.38%,4.992M,Energy Minerals,14
91,Oilfield Services/Equipment ,78.758B,—,2.62%,5.794M,Industrial Services,45
92,Other Consumer Services ,307.823B,—,1.00%,3.157M,Consumer Services,53
93,Other Consumer Specialties ,7.261B,—,1.48%,3.946M,Consumer Durables,10
94,Other Metals/Minerals ,267.562B,—,1.47%,2.707M,Non-Energy Minerals,41
95,Other Transportation ,11.771B,—,4.81%,443.722K,Transportation,11
96,Packaged Software ,3456.699B,—,−0.35%,14.232M,Technology Services,154
97,Personnel Services ,24.404B,—,2.77%,612.71K,Commercial Services,26
98,Pharmaceuticals: Generic ,102.452B,—,−0.07%,2.269M,Health Technology,13
99,Pharmaceuticals: Major ,2087.292B,—,−0.44%,5.299M,Health Technology,173
100,Pharmaceuticals: Other ,116.021B,—,−0.23%,907.293K,Health Technology,73
101,Precious Metals ,280.848B,—,−0.92%,5.215M,Non-Energy Minerals,53
102,Property/Casualty Insurance ,238.975B,—,3.48%,1.478M,Finance,46
103,Publishing: Books/Magazines ,11.018B,—,1.53%,255.218K,Consumer Services,6
104,Publishing: Newspapers ,22.248B,—,1.78%,1.1M,Consumer Services,8
105,Pulp & Paper ,14.717B,—,2.56%,225.966K,Process Industries,10
106,Railroads ,320.939B,—,0.28%,1.763M,Transportation,7
107,Real Estate Development ,69.311B,—,0.83%,1.383M,Finance,48
108,Real Estate Investment Trusts ,1125.667B,—,0.51%,2.011M,Finance,220
109,Recreational Products ,170.435B,—,1.62%,3.046M,Consumer Durables,28
110,Regional Banks ,582.11B,—,3.21%,1.652M,Finance,284
111,Restaurants ,392.621B,—,0.77%,2.986M,Consumer Services,47
112,Savings Banks ,30.469B,—,3.55%,708.737K,Finance,58
113,Semiconductors ,1569.407B,—,−0.22%,11.062M,Electronic Technology,72
114,Services to the Health Industry ,67.748B,—,−0.38%,667.297K,Health Services,10
