,TICKER,LAST,CHG PERCENT,CHG,RATING,VOL,MKT CAP,P_E,EPS,EMPLOYEES,SECTOR
0,AAPL,408.23,6.10%,23.47,Buy,30.572M,1767.374B,29.80,12.86,137K,Electronic_Technology
1,AMZN,3180.00,4.20%,128.12,Buy,3.72M,1585.185B,144.91,21.31,798K,Retail_Trade
2,MSFT,200.48,−1.68%,−3.42,Sell,14.79M,1516.698B,35.45,5.82,—,Technology_Services
3,GOOGL,1470.10,−4.44%,−68.27,Sell,2.12M,1003.519B,30.74,49.99,118.899K,Technology_Services
4,GOOG,1469.00,−4.08%,−62.45,Sell,1.312M,1001.826B,30.71,49.99,118.899K,Technology_Services
5,FB,252.59,7.71%,18.09,Buy,22.579M,721.093B,31.97,7.35,44.942K,Technology_Services
6,BABA,250.83,−0.76%,−1.92,Buy,3.185M,677.254B,31.38,8.17,117.6K,Retail_Trade
7,BRK.A,291460.10,0.03%,98.09,Buy,80,472.173B,49.22,5983.00,391.5K,Finance
8,BRK.B,194.32,0.01%,0.02,Buy,1.622M,472.083B,49.18,3.99,391.5K,Finance
9,TSM,78.07,−2.33%,−1.87,Strong_Buy,4.206M,428.733B,28.63,—,51.297K,Electronic_Technology
10,V,190.43,−1.87%,−3.63,Sell,2.715M,405.556B,36.71,5.57,19.5K,Finance
11,JNJ,145.64,−0.82%,−1.20,Neutral,1.101M,383.665B,25.76,5.77,132.2K,Health_Technology
12,WMT,129.90,−0.17%,−0.22,Buy,1.108M,367.644B,24.85,5.29,2.2M,Retail_Trade
13,PG,130.16,−0.96%,−1.26,Buy,2.483M,321.734B,72.51,1.91,97K,Consumer_Non-Durables
14,MA,307.01,−0.65%,−2.00,Buy,1.407M,308.105B,39.57,7.86,18.6K,Finance
15,JPM,95.44,−1.63%,−1.58,Sell,4.778M,290.494B,13.43,7.44,256.981K,Finance
16,UNH,300.34,−1.60%,−4.89,Buy,699.816K,284.922B,17.24,—,325K,Health_Services
17,HD,264.33,−0.75%,−1.99,Buy,630.772K,284.647B,26.30,10.10,415.7K,Retail_Trade
18,TSLA,1464.21,−1.57%,−23.28,Buy,3.655M,273.127B,780.18,2.03,48.016K,Consumer_Durables
19,NVDA,421.40,−0.74%,−3.16,Buy,3.832M,259.389B,78.18,5.43,13.775K,Electronic_Technology
20,VZ,57.06,−0.42%,−0.24,Buy,2.681M,235.993B,12.43,4.63,135K,Communications
21,PYPL,193.84,0.69%,1.33,Strong_Buy,2.761M,228.257B,116.82,1.60,23.2K,Technology_Services
22,NFLX,490.05,0.87%,4.25,Buy,1.909M,215.767B,81.74,6.11,8.6K,Consumer_Services
23,BAC,24.53,−1.25%,−0.31,Buy,18.724M,212.683B,12.17,2.09,208K,Finance
24,PFE,38.21,−1.37%,−0.53,Buy,7.301M,212.038B,15.61,2.55,88.3K,Health_Technology
25,ADBE,439.19,0.07%,0.31,Buy,468.513K,210.726B,57.54,7.66,22.634K,Technology_Services
26,T,29.39,−0.61%,−0.18,Strong_Sell,8.731M,209.226B,18.07,1.65,246K,Communications
27,DIS,114.49,−1.01%,−1.17,Sell,2.133M,206.565B,39.01,2.98,223K,Consumer_Services
28,INTC,47.59,−0.83%,−0.40,Sell,12.277M,202.528B,8.85,5.49,110.8K,Electronic_Technology
29,MRK,80.21,1.54%,1.22,Buy,3.83M,202.433B,20.07,3.98,71K,Health_Technology
30,KO,46.99,−1.47%,−0.70,Buy,2.886M,201.778B,22.58,2.14,86.2K,Consumer_Non-Durables
31,SAP,158.53,−1.02%,−1.64,Buy,166.61K,196.546B,—,4.23,100.33K,Technology_Services
32,CMCSA,42.85,−1.88%,−0.82,Buy,6.301M,196.076B,17.39,2.56,190K,Consumer_Services
33,CSCO,46.14,−0.66%,−0.31,Sell,3.488M,194.606B,18.54,2.54,75.9K,Technology_Services
34,NVS,83.06,−1.39%,−1.17,Strong_Sell,481.395K,191.189B,26.86,3.17,103.914K,Health_Technology
35,PEP,136.38,−0.96%,−1.32,Buy,754.096K,189.016B,28.18,4.92,267K,Consumer_Non-Durables
36,ABT,99.87,−1.63%,−1.66,Buy,860.957K,176.496B,59.09,1.75,107K,Health_Technology
37,XOM,41.27,−1.43%,−0.60,Strong_Sell,10.182M,173.822B,16.54,2.66,74.9K,Energy_Minerals
38,CRM,191.62,−0.04%,−0.08,Buy,836.369K,172.076B,—,−0.18,49K,Technology_Services
39,TM,119.28,−2.60%,−3.18,Strong_Sell,87.095K,171.488B,9.28,13.50,359.542K,Consumer_Durables
40,ORCL,54.81,−0.80%,−0.44,Sell,2.355M,168.194B,18.01,3.17,135K,Technology_Services
41,ABBV,94.15,−1.97%,−1.90,Sell,3.04M,165.924B,17.17,5.67,30K,Health_Technology
42,TMO,409.90,−0.16%,−0.66,Buy,200.967K,161.865B,44.27,9.32,75K,Health_Technology
43,CVX,82.23,−4.68%,−4.04,Strong_Sell,6.136M,153.279B,44.52,2.05,48.2K,Energy_Minerals
44,ASML,356.69,−1.67%,−6.04,Sell,277.449K,152.552B,47.77,7.65,24.9K,Producer_Manufacturing
45,NKE,96.53,−0.30%,−0.29,Sell,1.568M,150.247B,61.40,1.63,75.4K,Consumer_Non-Durables
46,AZN,56.30,−2.75%,−1.59,Buy,2.285M,148.654B,108.96,0.52,70.6K,Health_Technology
47,LLY,151.44,−1.02%,−1.57,Sell,1.281M,144.963B,26.79,6.05,33.625K,Health_Technology
48,MCD,192.76,−1.36%,−2.66,Buy,625.254K,143.439B,31.11,—,205K,Consumer_Services
49,COST,324.65,−0.05%,−0.18,Buy,294.684K,143.305B,39.00,8.41,254K,Retail_Trade
50,DHR,201.64,−0.25%,−0.51,Buy,345.951K,143.109B,49.86,4.12,60K,Health_Technology
51,AMGN,243.18,−1.20%,−2.96,Sell,477.762K,143.091B,20.34,12.32,23.4K,Health_Technology
52,CHL,34.15,−0.42%,−0.14,Strong_Sell,135.517K,141.568B,9.21,3.77,456.239K,Communications
53,ACN,222.41,−0.70%,−1.57,Buy,246.337K,141.414B,29.36,7.78,492K,Technology_Services
54,CHTR,583.83,3.62%,20.39,Buy,525.657K,136.963B,68.49,8.44,95.1K,Consumer_Services
55,NEE,278.60,−1.32%,−3.74,Buy,359.141K,136.553B,38.88,7.28,13.9K,Utilities
56,SNY,52.41,−0.17%,−0.09,Buy,1.2M,133.043B,40.92,1.30,100.409K,Health_Technology
57,BMY,58.15,−1.22%,−0.72,Sell,1.506M,131.598B,73.11,0.81,30K,Health_Technology
58,TMUS,105.85,0.35%,0.37,Buy,517.635K,131.226B,26.01,4.10,53K,Communications
59,LIN,244.57,1.05%,2.55,Buy,621.542K,128.602B,56.61,4.35,79.886K,Process_Industries
60,MDT,95.12,−1.40%,−1.35,Sell,924.48K,127.558B,27.85,3.57,90K,Health_Technology
61,AVGO,312.69,0.19%,0.59,Buy,535.521K,125.532B,55.27,5.86,19K,Electronic_Technology
62,UPS,141.31,−0.11%,−0.15,Buy,2.166M,121.8B,25.03,4.98,495K,Transportation
63,SHOP,1035.44,−1.28%,−13.40,Strong_Buy,787.399K,121.701B,—,−0.60,5K,Retail_Trade
64,NVO,66.23,−1.40%,−0.94,Buy,260.175K,120.305B,26.37,2.54,43.258K,Health_Technology
65,AMT,260.29,−0.84%,−2.21,Buy,384.709K,120.264B,63.52,4.30,5.454K,Finance
66,QCOM,105.87,−1.23%,−1.32,Strong_Buy,6.017M,118.883B,39.35,2.39,37K,Electronic_Technology
67,PM,76.17,−1.66%,−1.28,Buy,705.423K,118.747B,16.80,4.67,73.5K,Consumer_Non-Durables
68,TXN,127.10,−1.39%,−1.79,Sell,844.305K,116.352B,24.68,5.41,29.768K,Electronic_Technology
69,UNP,169.77,−1.75%,−3.03,Sell,524.555K,115.165B,22.11,8.07,37.483K,Transportation
70,LOW,148.14,−0.71%,−1.06,Buy,615.227K,111.808B,25.10,5.93,320K,Retail_Trade
71,IBM,121.95,−0.77%,−0.95,Sell,1.327M,108.526B,14.22,8.88,383.8K,Technology_Services
72,LMT,377.73,−1.05%,−3.99,Buy,229.959K,105.703B,16.97,22.94,110K,Electronic_Technology
73,HON,147.99,−0.78%,−1.17,Sell,609.213K,103.822B,19.02,8.22,113K,Producer_Manufacturing
74,C,49.48,−2.74%,−1.40,Sell,6.763M,103.002B,9.10,5.81,200K,Finance
75,GSK,40.37,0.30%,0.12,Sell,2.217M,101.004B,17.20,2.39,99.437K,Health_Technology
76,TOT,37.02,−3.34%,−1.28,Sell,638.177K,100.594B,12.45,3.15,107.776K,Energy_Minerals
77,WFC,24.23,−1.70%,−0.42,Strong_Sell,12.849M,99.55B,29.47,0.89,259.8K,Finance
78,RY,68.61,−1.12%,−0.78,Sell,212.601K,97.711B,12.43,5.63,85K,Finance
79,HSBC/PA,25.89,0.12%,0.03,Buy,4.029K,96.225B,140.13,0.19,235K,Finance
80,HSBC,22.50,−1.14%,−0.26,Strong_Sell,1.193M,96.006B,26.38,0.90,235K,Finance
81,SNE,77.75,−0.98%,−0.77,Buy,322.211K,95.6B,18.46,4.34,111.7K,Consumer_Durables
82,BUD,54.87,−5.53%,−3.21,Buy,1.042M,92.613B,12.53,4.65,171.915K,Consumer_Non-Durables
83,AMD,76.55,−2.11%,−1.65,Buy,29.034M,89.877B,148.96,0.53,11.4K,Electronic_Technology
84,BA,158.96,−1.84%,−2.99,Strong_Sell,9.711M,89.677B,—,−5.04,161.1K,Electronic_Technology
85,FIS,144.71,−0.34%,−0.49,Strong_Buy,920.071K,89.37B,272.30,0.54,55K,Technology_Services
86,HDB,46.41,−2.36%,−1.12,Sell,509.096K,89.144B,22.74,2.16,116.971K,Finance
87,SBUX,75.97,−0.87%,−0.67,Buy,1.812M,88.706B,69.92,1.13,346K,Consumer_Services
88,UN,59.36,−1.17%,−0.70,Buy,435.988K,88.309B,24.49,2.49,149.867K,Consumer_Non-Durables
89,GILD,69.78,−3.53%,−2.55,Strong_Sell,6.116M,87.655B,18.76,3.92,11.8K,Health_Technology
90,DEO,147.94,−1.33%,−1.99,Buy,195.316K,87.143B,22.85,6.56,28.15K,Consumer_Non-Durables
91,BLK,570.40,−0.47%,−2.69,Buy,62.865K,86.902B,20.30,28.68,16.2K,Finance
92,MMM,150.02,−1.38%,−2.10,Sell,721.019K,86.389B,17.71,8.90,96.163K,Producer_Manufacturing
93,SPGI,346.64,−1.63%,−5.74,Buy,254.587K,83.492B,33.93,10.66,22.5K,Commercial_Services
94,CVS,63.04,−1.50%,−0.96,Sell,1.777M,82.347B,11.63,5.54,290K,Retail_Trade
95,NOW,431.15,−0.06%,−0.26,Buy,450.443K,82.102B,121.36,3.85,10.371K,Technology_Services
96,JD,63.05,1.22%,0.76,Buy,3.312M,81.971B,110.08,0.58,227.73K,Retail_Trade
97,BTI,34.01,−3.05%,−1.07,Sell,960.584K,80.968B,11.15,3.19,59.989K,Consumer_Non-Durables
98,BHP,52.60,−1.03%,−0.55,Buy,462.037K,79.89B,14.59,3.73,—,Non-Energy_Minerals
99,ISRG,681.60,−0.84%,−5.79,Buy,115.245K,79.507B,73.25,9.80,7.326K,Health_Technology
