,Market Capitalization,Enterprise Value (MRQ),Enterprise Value/EBITDA (TTM),Total Shares Outstanding (MRQ),Number of Employees,Number of Shareholders,Price to Earnings Ratio (TTM),Price to Revenue Ratio (TTM),Price to Book (FY),Price to Sales (FY),Average Volume (10 day),1-Year Beta,52 Week High,52 Week Low,Quick Ratio (MRQ),Current Ratio (MRQ),Debt to Equity Ratio (MRQ),Net Debt (MRQ),Total Debt (MRQ),Total Assets (MRQ),Dividends Paid (FY),Dividends Yield (FY),Dividends per Share (FY),Return on Assets (TTM),Return on Equity (TTM),Return on Invested Capital (TTM),Revenue per Employee (TTM),Net Margin (TTM),Gross Margin (TTM),Operating Margin (TTM),Pretax Margin (TTM),Basic EPS (FY),Basic EPS (TTM),EPS Diluted (FY),Net Income (FY),EBITDA (TTM),Gross Profit (MRQ),Gross Profit (FY),Last Year Revenue (FY),Total Revenue (FY),Free Cash Flow (TTM)
AAPLD,1515.805B,1114.85B,13.7472,4.334B,137K,23.233K,27.5737,5.7863,17.2710,6.2899,39.783M,0.9510,356.5600,192.5800,1.4613,1.4960,1.5143,23.633B,118.761B,320.4B,-14.119B,0.9379,3,0.1728,0.6209,0.3079,1.898M,0.2137,0.3798,0.2434,0.2506,11.9658,12.8615,11.8858,55.256B,75.633B,22.416B,97.704B,259.968B,259.968B,66.636B
MSFTD,1479.908B,1156.82B,18.1402,7.583B,144K,94.069K,32.6900,10.8709,14.6631,12.1278,37.151M,0.7583,199.2900,130.7800,2.8763,2.9043,0.7338,-53.601B,84.025B,285.449B,-13.811B,1.0453,1.8400,0.1686,0.4420,0.2530,871541.6667,0.3338,0.6815,0.3742,0.3767,5.1100,6.0629,5.0600,39.24B,64.078B,24.046B,82.592B,125.502B,125.502B,43.362B
AMZND,1334.231B,1015.14B,30.4583,498.776M,798K,3.169K,126.7784,4.5327,21.2968,4.7683,4.401M,0.4153,2722.3500,1626.0318,0.8421,1.0787,1.1973,28.577B,78.151B,221.238B,0,0,0,0.0529,0.1858,0.0903,351531.3283,0.0356,0.4064,0.0486,0.0437,23.4575,21.3147,22.9921,11.588B,36.682B,31.195B,114.986B,280.522B,280.522B,19.366B
GOOGD,977.32B,704.55B,17.3290,682.619M,118.899K,4.551K,28.9750,5.9772,4.9067,6.2149,1.778M,0.7955,1532.1063,1013.5361,3.6360,3.6582,0.0825,-100.425B,16.804B,273.403B,0,0,0,0.1331,0.1783,0.1664,1.357M,0.2076,0.5498,0.2119,0.2359,49.5859,49.9867,49.1628,34.343B,47.504B,22.128B,89.506B,161.402B,161.402B,29.056B
GOOGLD,972.487B,703.955B,17.3640,682.619M,118.899K,4.551K,28.9379,5.9695,4.9004,6.2069,1.813M,0.7979,1530.7400,1008.8700,3.6360,3.6582,0.0825,-100.425B,16.804B,273.403B,0,0,0,0.1331,0.1783,0.1664,1.357M,0.2076,0.5498,0.2119,0.2359,49.5859,49.9867,49.1628,34.343B,47.504B,22.128B,89.506B,161.402B,161.402B,29.056B
FBD,680.337B,428.77B,15.4400,2.849B,44.942K,3.663K,32.3285,9.2244,6.6588,9.5982,20.846M,0.8507,241.2100,137.1006,4.6021,4.6021,0.1027,-49.612B,10.814B,138.371B,0,0,0,0.1691,0.2185,0.2009,1.573M,0.2857,0.8172,0.3894,0.3707,6.4769,7.3458,6.4273,18.485B,34.545B,14.278B,57.927B,70.697B,70.697B,24.267B
BABAD,591.916B,515.039B,—,2.683B,—,—,27.7827,8.3414,—,8.1526,14.554M,0.5553,231.1400,151.8500,—,1.9139,0.1646,-32.971B,20.418B,185.115B,—,0,—,0.1298,0.2356,0.1963,—,0.2918,0.4753,0.1805,0.3258,8.1552,8.1655,8.0269,21.425B,—,5.991B,32.632B,73.162B,73.162B,—
BRK.AD,439.999B,417.357B,12.6163,1.62M,391.5K,20.95K,45.6293,1.7361,1.0443,1.7519,721.7000,0.7606,347.4K,239.44K,4.4680,4.9353,0.2919,-27.739B,109.524B,760.448B,0,0,0,0.0134,0.0270,0.0211,650360.1533,0.0392,0.2039,0.1271,0.0470,49.828K,5.983K,49.828K,81.417B,42.68B,12.421B,52.196B,254.616B,254.616B,22.112B
BRK.BD,436.726B,421B,12.6224,2.43B,391.5K,20.95K,45.2504,1.7239,1.0370,1.7397,8.434M,0.8050,231.6100,159.5000,4.4680,4.9353,0.2919,-27.739B,109.524B,760.448B,0,0,0,0.0134,0.0270,0.0211,650360.1533,0.0392,0.2039,0.1271,0.0470,33.2187,3.9940,33.2187,81.417B,42.68B,12.421B,52.196B,254.616B,254.616B,22.112B
VD,409.197B,368.8B,24.8850,2.129B,19.5K,2.458K,35.8435,18.0880,14.3305,19.1741,8.768M,1.0068,214.1700,133.9300,1.2487,1.2487,0.5173,4.363B,17.892B,72.82B,-2.269B,0.6243,1,0.1687,0.3495,0.2422,1.178M,0.5038,0.7858,0.6685,0.6439,5.3255,5.5661,5.1276,11.65B,16.678B,4.539B,18.156B,22.977B,22.977B,11.918B
