,INDUSTRY,MKT CAP,DIV YIELD,CHG PERCENT,VOL,SECTOR,STOCKS
0,Advertising/Marketing Services ,57.823B,—,−0.01%,1.607M,Commercial Services,22
1,Aerospace & Defense ,601.878B,—,−1.31%,12.49M,Electronic Technology,49
2,Agricultural Commodities/Milling ,66.524B,—,−0.54%,2.03M,Process Industries,26
3,Air Freight/Couriers ,197.369B,—,−0.05%,1.923M,Transportation,13
4,Airlines ,89.014B,—,−2.33%,14.826M,Transportation,19
5,Alternative Power Generation ,29.114B,—,−0.49%,509.166K,Utilities,9
6,Aluminum ,13.65B,—,−1.00%,1.773M,Non-Energy Minerals,6
7,Apparel/Footwear ,231.196B,—,−0.16%,4.541M,Consumer Non-Durables,35
8,Apparel/Footwear Retail ,189.689B,—,−0.91%,2.609M,Retail Trade,36
9,Auto Parts: OEM ,80.33B,—,−0.94%,1.207M,Producer Manufacturing,30
10,Automotive Aftermarket ,16.109B,—,−0.36%,1.689M,Consumer Durables,7
11,Beverages: Alcoholic ,370.199B,—,0.79%,4.291M,Consumer Non-Durables,13
12,Beverages: Non-Alcoholic ,523.635B,—,−0.10%,7.873M,Consumer Non-Durables,16
13,Biotechnology ,1085.207B,—,−2.10%,2.713M,Health Technology,376
14,Broadcasting ,107.293B,—,0.19%,6.716M,Consumer Services,27
15,Building Products ,119.651B,—,−0.58%,1.206M,Producer Manufacturing,28
16,Cable/Satellite TV ,726.502B,—,0.73%,8.591M,Consumer Services,18
17,Casinos/Gaming ,98.863B,—,−2.06%,6.178M,Consumer Services,19
18,Catalog/Specialty Distribution ,2.582B,—,−0.41%,859.729K,Retail Trade,4
19,Chemicals: Agricultural ,83.154B,—,−0.47%,1.308M,Process Industries,19
20,Chemicals: Major Diversified ,81.824B,—,−0.97%,2.933M,Process Industries,10
21,Chemicals: Specialty ,383.685B,—,−0.64%,1.2M,Process Industries,51
22,Coal ,3.072B,—,2.59%,681.041K,Energy Minerals,14
23,Commercial Printing/Forms ,18.592B,—,−0.47%,397.609K,Commercial Services,10
24,Computer Communications ,79.502B,—,−1.57%,619.443K,Electronic Technology,14
25,Computer Peripherals ,70.78B,—,−3.77%,3.075M,Electronic Technology,16
26,Computer Processing Hardware ,87.883B,—,−1.30%,4.272M,Electronic Technology,8
27,Construction Materials ,82.446B,—,−0.34%,612.492K,Non-Energy Minerals,14
28,Consumer Sundries ,3.857B,—,−2.10%,109.399K,Consumer Non-Durables,3
29,Containers/Packaging ,143.225B,—,−0.13%,1.62M,Process Industries,21
30,Contract Drilling ,5.171B,—,0.77%,6.868M,Industrial Services,11
31,Data Processing Services ,598.56B,—,−1.06%,3.145M,Technology Services,42
32,Department Stores ,12.825B,—,−0.36%,6.077M,Retail Trade,4
33,Discount Stores ,80.78B,—,−0.11%,1.07M,Retail Trade,5
34,Drugstore Chains ,119.675B,—,−0.40%,5.647M,Retail Trade,6
35,Electric Utilities ,1622.128B,—,−0.37%,1.85M,Utilities,92
36,Electrical Products ,239.642B,—,−0.86%,1.21M,Producer Manufacturing,39
37,Electronic Components ,135.981B,—,−1.29%,2.402M,Electronic Technology,37
38,Electronic Equipment/Instruments ,165.913B,—,−1.66%,765.938K,Electronic Technology,41
39,Electronic Production Equipment ,122.947B,—,−3.95%,1.871M,Electronic Technology,29
40,Electronics Distributors ,15.926B,—,−2.28%,359.744K,Distribution Services,9
41,Electronics/Appliance Stores ,25.357B,—,0.92%,2.111M,Retail Trade,3
42,Electronics/Appliances ,133.397B,—,−0.01%,1.168M,Consumer Durables,17
43,Engineering & Construction ,50.331B,—,−1.35%,432.526K,Industrial Services,33
44,Environmental Services ,122.532B,—,−0.92%,873.368K,Industrial Services,20
45,Finance/Rental/Leasing ,861.709B,—,−1.04%,4.603M,Finance,84
46,Financial Conglomerates ,317.675B,—,−1.06%,7.229M,Finance,262
47,Financial Publishing/Services ,172.464B,—,0.14%,718.386K,Commercial Services,3
48,Food Distributors ,39.446B,—,−0.07%,1.818M,Distribution Services,9
49,Food Retail ,420.057B,—,−0.36%,4.232M,Retail Trade,12
50,Food: Major Diversified ,230.687B,—,−0.41%,3.596M,Consumer Non-Durables,13
51,Food: Meat/Fish/Dairy ,61.832B,—,−0.49%,1.106M,Consumer Non-Durables,8
52,Food: Specialty/Candy ,143.796B,—,−0.88%,538.312K,Consumer Non-Durables,30
53,Forest Products ,20.73B,—,0.62%,509.824K,Non-Energy Minerals,6
54,Gas Distributors ,95.755B,—,−1.38%,1.068M,Utilities,19
55,Home Furnishings ,23.475B,—,−0.76%,870.782K,Consumer Durables,17
56,Home Improvement Chains ,403.307B,—,0.54%,3.16M,Retail Trade,3
57,Homebuilding ,120.765B,—,0.22%,1.757M,Consumer Durables,26
58,Hospital/Nursing Management ,86.397B,—,−1.28%,1.249M,Health Services,16
59,Hotels/Resorts/Cruise lines ,125.54B,—,−0.74%,4.764M,Consumer Services,21
60,Household/Personal Care ,758.434B,—,−0.13%,3.33M,Consumer Non-Durables,23
61,Industrial Conglomerates ,244.124B,—,−1.29%,3.027M,Producer Manufacturing,11
62,Industrial Machinery ,460.044B,—,−2.47%,2.608M,Producer Manufacturing,69
63,Industrial Specialties ,124.32B,—,−0.10%,638.509K,Process Industries,26
64,Information Technology Services ,1199.336B,—,−1.10%,4.574M,Technology Services,116
65,Insurance Brokers/Services ,211.248B,—,−0.48%,904.964K,Finance,18
66,Integrated Oil ,883.266B,—,−0.32%,7.592M,Energy Minerals,32
67,Internet Retail ,2478.738B,—,0.15%,8.806M,Retail Trade,25
68,Internet Software/Services ,3341.875B,—,−0.49%,5.379M,Technology Services,107
69,Investment Banks/Brokers ,478.87B,—,−0.58%,3.066M,Finance,47
70,Investment Managers ,505.888B,—,−1.17%,1.196M,Finance,124
71,Investment Trusts/Mutual Funds ,202.249B,—,0.11%,4.065M,Miscellaneous,2844
72,Life/Health Insurance ,166.545B,—,−1.16%,1.685M,Finance,25
73,Major Banks ,1778.708B,—,−0.70%,12.341M,Finance,65
74,Major Telecommunications ,630.772B,—,0.28%,19.872M,Communications,19
75,Managed Health Care ,524.421B,—,−0.39%,1.994M,Health Services,8
76,Marine Shipping ,19.451B,—,−0.41%,1.035M,Transportation,51
77,Media Conglomerates ,214.297B,—,−0.40%,8.165M,Consumer Services,3
78,Medical Distributors ,83.212B,—,−0.81%,923.691K,Distribution Services,9
79,Medical Specialties ,1636.069B,—,−0.78%,2.062M,Health Technology,197
80,Medical/Nursing Services ,103.154B,—,−1.85%,454.62K,Health Services,44
81,Metal Fabrication ,18.618B,—,−1.00%,154.492K,Producer Manufacturing,24
82,Miscellaneous ,1.091B,—,−0.02%,3.606M,Miscellaneous,11
83,Miscellaneous Commercial Services ,351.671B,—,−1.24%,915.54K,Commercial Services,139
84,Miscellaneous Manufacturing ,33.47B,—,−0.93%,594.34K,Producer Manufacturing,15
85,Motor Vehicles ,625.692B,—,−3.40%,13.648M,Consumer Durables,16
86,Movies/Entertainment ,94.452B,—,−0.35%,690.276K,Consumer Services,35
87,Multi-Line Insurance ,1147.922B,—,0.32%,2.348M,Finance,31
88,Office Equipment/Supplies ,33.087B,—,−1.97%,3.149M,Producer Manufacturing,9
89,Oil & Gas Pipelines ,408.383B,—,−0.40%,3.271M,Industrial Services,38
90,Oil & Gas Production ,279.965B,—,−0.40%,3.728M,Energy Minerals,90
91,Oil Refining/Marketing ,103.754B,—,−0.40%,2.41M,Energy Minerals,14
92,Oilfield Services/Equipment ,88.467B,—,−0.10%,10.151M,Industrial Services,45
93,Other Consumer Services ,309.969B,—,−0.04%,2.053M,Consumer Services,53
94,Other Consumer Specialties ,7.305B,—,−0.55%,1.524M,Consumer Durables,10
95,Other Metals/Minerals ,282.192B,—,−0.35%,3.313M,Non-Energy Minerals,40
96,Other Transportation ,12.165B,—,−2.96%,131.879K,Transportation,11
97,Packaged Software ,3301.552B,—,−0.95%,20.074M,Technology Services,157
98,Personnel Services ,26.066B,—,−1.64%,491.6K,Commercial Services,26
99,Pharmaceuticals: Generic ,102.199B,—,−0.24%,1.846M,Health Technology,12
100,Pharmaceuticals: Major ,2121.592B,—,−1.13%,7.457M,Health Technology,176
101,Pharmaceuticals: Other ,117.08B,—,−1.52%,979.127K,Health Technology,72
102,Precious Metals ,309.138B,—,2.80%,6.695M,Non-Energy Minerals,52
103,Property/Casualty Insurance ,255.65B,—,−0.58%,1.189M,Finance,48
104,Publishing: Books/Magazines ,10.81B,—,−1.06%,338.62K,Consumer Services,6
105,Publishing: Newspapers ,23.492B,—,0.50%,819.334K,Consumer Services,8
106,Pulp & Paper ,11.067B,—,2.08%,289.219K,Process Industries,10
107,Railroads ,342.626B,—,0.27%,1.761M,Transportation,7
108,Real Estate Development ,71.091B,—,−1.44%,1.005M,Finance,49
