,TICKER,LAST,CHG PERCENT,CHG,RATING,VOL,MKT CAP,P_E,EPS,EMPLOYEES,SECTOR
0,AAPL,370.46,−0.25%,−0.92,Buy,46.36M,1605.7B,29.11,12.86,137K,Electronic_Technology
1,MSFT,201.30,−0.61%,−1.24,Sell,39.827M,1524.042B,35.19,5.82,—,Technology_Services
2,AMZN,3008.91,0.75%,22.36,Buy,5.632M,1500.772B,142.67,21.31,798K,Retail_Trade
3,GOOG,1511.87,−0.25%,−3.81,Buy,1.544M,1032.032B,30.58,49.99,118.899K,Technology_Services
4,GOOGL,1508.21,−0.56%,−8.54,Buy,1.495M,1029.534B,30.61,49.99,118.899K,Technology_Services
5,BABA,249.00,−1.14%,−2.88,Buy,17.221M,675.725B,31.30,8.17,—,Retail_Trade
6,FB,230.71,−0.81%,−1.89,Sell,18.326M,657.835B,31.87,7.35,44.942K,Technology_Services
7,BRK.B,194.52,0.66%,1.27,Buy,5.144M,472.691B,48.39,3.99,391.5K,Finance
8,BRK.A,291621.00,0.75%,2185.00,Buy,343,472.433B,48.38,5983.00,391.5K,Finance
9,V,195.15,−1.15%,−2.28,Buy,7.16M,415.478B,36.49,5.57,19.5K,Finance
10,JNJ,148.12,−1.00%,−1.49,Buy,5.406M,390.235B,26.30,—,132.2K,Health_Technology
11,WMT,131.24,−0.30%,−0.40,Buy,4.346M,371.665B,25.03,5.29,2.2M,Retail_Trade
12,TSM,73.90,9.69%,6.53,Buy,41.227M,349.386B,23.33,—,51.297K,Electronic_Technology
13,PG,125.96,−0.16%,−0.20,Buy,6.015M,311.832B,71.30,1.91,97K,Consumer_Non-Durables
14,MA,306.92,−0.96%,−2.98,Strong_Buy,2.501M,308.16B,39.65,7.86,18.6K,Finance
15,JPM,98.28,−0.71%,−0.70,Buy,12.744M,299.461B,13.34,7.44,256.981K,Finance
16,HD,265.31,0.57%,1.50,Buy,2.985M,285.346B,26.22,10.10,415.7K,Retail_Trade
17,UNH,300.79,−0.72%,−2.18,Buy,2.416M,285.263B,17.04,—,325K,Health_Services
18,TSLA,1417.00,−6.35%,−96.07,Buy,19.397M,262.819B,—,−0.84,48.016K,Consumer_Durables
19,NVDA,407.78,0.64%,2.59,Buy,11.832M,250.785B,75.67,5.43,13.775K,Electronic_Technology
20,VZ,56.85,1.79%,1.00,Buy,17.982M,235.245B,12.57,4.44,135K,Communications
21,INTC,50.59,−16.24%,−9.81,Sell,182.27M,214.198B,11.11,5.49,110.8K,Electronic_Technology
22,DIS,117.61,−0.43%,−0.51,Buy,8.233M,212.435B,39.86,2.98,223K,Consumer_Services
23,NFLX,480.45,0.60%,2.87,Buy,7.746M,211.886B,80.57,6.11,8.6K,Consumer_Services
24,BAC,24.35,−0.77%,−0.19,Buy,50.218M,211.251B,11.82,2.09,208K,Finance
25,T,29.57,−1.10%,−0.33,Strong_Sell,38.727M,210.686B,18.28,1.65,246K,Communications
26,PFE,37.66,−1.95%,−0.75,Buy,32.135M,209.195B,13.74,2.84,88.3K,Health_Technology
27,KO,48.49,0.43%,0.21,Buy,16.197M,208.286B,22.71,2.14,86.2K,Consumer_Non-Durables
28,ADBE,430.31,−0.33%,−1.43,Sell,1.901M,206.405B,56.94,7.66,22.634K,Technology_Services
29,PYPL,172.56,−0.75%,−1.30,Sell,6.256M,202.613B,110.02,1.60,23.2K,Technology_Services
30,CMCSA,43.35,2.02%,0.86,Strong_Buy,21.926M,197.856B,16.84,2.56,190K,Consumer_Services
31,CSCO,46.40,−2.13%,−1.01,Buy,16.984M,195.915B,18.82,2.54,75.9K,Technology_Services
32,MRK,77.10,−1.23%,−0.96,Sell,8.653M,194.608B,19.74,3.98,71K,Health_Technology
33,SAP,158.62,−1.64%,−2.65,Buy,890.622K,192.499B,40.67,3.97,100.33K,Technology_Services
34,NVS,84.22,−0.79%,−0.67,Sell,1.969M,192.276B,27.01,3.17,103.914K,Health_Technology
35,PEP,136.06,−0.74%,−1.02,Buy,3.3M,188.393B,28.00,4.92,267K,Consumer_Non-Durables
36,XOM,43.43,−0.62%,−0.27,Sell,16.415M,183.631B,16.41,2.66,74.9K,Energy_Minerals
37,ABT,98.95,−1.85%,−1.87,Buy,4.535M,175.028B,58.05,—,107K,Health_Technology
38,TM,125.21,−0.52%,−0.65,Sell,124.034K,174.074B,9.42,13.50,359.542K,Consumer_Durables
39,ABBV,97.11,−0.94%,−0.92,Sell,5.169M,171.141B,17.35,5.67,30K,Health_Technology
40,ORCL,55.65,−0.20%,−0.11,Sell,8.94M,170.772B,18.03,3.17,135K,Technology_Services
41,CRM,188.49,−0.03%,−0.05,Sell,3.908M,169.53B,—,−0.18,49K,Technology_Services
42,CVX,90.13,−0.97%,−0.88,Buy,6.62M,168.271B,44.98,2.05,48.2K,Energy_Minerals
43,ASML,367.68,−4.31%,−16.55,Sell,1.629M,160.757B,50.33,7.65,24.9K,Producer_Manufacturing
44,TMO,406.38,−1.00%,−4.10,Buy,1.324M,160.5B,44.41,9.32,75K,Health_Technology
45,NKE,98.43,0.13%,0.13,Buy,5.638M,153.061B,62.24,1.63,—,Consumer_Non-Durables
46,LLY,159.54,−1.23%,−1.98,Sell,2.248M,152.686B,26.75,6.05,33.625K,Health_Technology
47,MCD,198.72,0.59%,1.17,Buy,2.2M,147.759B,25.88,7.70,205K,Consumer_Services
48,AMGN,247.98,−1.69%,−4.26,Buy,2.188M,145.873B,19.77,12.84,23.4K,Health_Technology
49,AZN,55.80,1.14%,0.63,Buy,7.748M,144.796B,106.14,0.52,70.6K,Health_Technology
50,COST,325.78,−0.10%,−0.33,Buy,1.424M,143.84B,39.00,8.41,254K,Retail_Trade
51,ACN,221.44,−0.39%,−0.86,Buy,1.542M,140.879B,29.09,7.78,492K,Technology_Services
52,CHL,34.37,1.00%,0.34,Sell,827.748K,139.356B,9.07,3.77,456.239K,Communications
53,DHR,195.27,−1.98%,−3.95,Buy,3.115M,138.526B,49.14,4.12,60K,Health_Technology
54,NEE,280.25,−0.26%,−0.72,Buy,1.929M,137.168B,38.97,7.26,13.9K,Utilities
55,CHTR,561.72,0.23%,1.30,Buy,587.742K,131.553B,67.77,8.44,95.1K,Consumer_Services
56,SNY,51.15,−1.88%,−0.98,Sell,1.47M,130.968B,40.37,1.30,100.409K,Health_Technology
57,BMY,57.85,−3.37%,−2.02,Sell,12.532M,130.897B,74.00,0.81,30K,Health_Technology
58,TMUS,104.93,0.40%,0.42,Buy,4.99M,129.987B,25.69,4.10,53K,Communications
59,MDT,96.35,−0.23%,−0.22,Buy,4.072M,129.234B,27.25,3.57,90K,Health_Technology
60,LIN,244.07,−0.78%,−1.91,Buy,1.304M,128.182B,56.90,4.35,79.886K,Process_Industries
61,AVGO,305.79,−1.25%,−3.88,Sell,1.563M,122.984B,55.42,5.86,19K,Electronic_Technology
62,PM,76.85,0.72%,0.55,Buy,5.695M,119.665B,16.35,4.67,73.5K,Consumer_Non-Durables
63,UNP,176.12,0.64%,1.12,Buy,2.72M,119.509B,21.74,8.07,37.483K,Transportation
64,NVO,66.17,−0.38%,−0.25,Buy,1.134M,119.406B,26.18,2.54,43.258K,Health_Technology
65,TXN,129.63,0.46%,0.59,Buy,5.077M,118.734B,24.19,5.41,29.768K,Electronic_Technology
66,AMT,256.33,−0.61%,−1.57,Sell,1.391M,114.329B,60.38,4.30,5.454K,Finance
67,IBM,125.79,−1.21%,−1.54,Buy,3.531M,111.688B,14.45,8.88,383.8K,Technology_Services
68,LOW,147.03,0.36%,0.53,Buy,3.74M,111.008B,24.73,5.93,320K,Retail_Trade
69,SHOP,929.81,0.15%,1.40,Sell,2.419M,109.009B,—,−1.16,5K,Retail_Trade
70,WFC,26.26,−0.34%,−0.09,Buy,39.357M,108.181B,30.12,0.89,259.8K,Finance
71,LMT,386.21,−0.36%,−1.41,Buy,1.306M,107.962B,16.99,22.94,110K,Electronic_Technology
72,C,51.67,−0.79%,−0.41,Buy,16.259M,107.572B,9.03,5.81,200K,Finance
73,HON,149.43,−2.80%,−4.30,Buy,4.368M,104.877B,17.67,8.81,113K,Producer_Manufacturing
74,UPS,118.35,0.18%,0.21,Buy,2.539M,102.039B,23.91,4.98,495K,Transportation
75,GSK,40.29,−0.02%,−0.01,Sell,3.716M,100.282B,17.07,2.39,99.437K,Health_Technology
76,QCOM,88.89,−0.87%,−0.78,Sell,9.52M,99.995B,26.59,3.41,37K,Electronic_Technology
77,TOT,38.25,0.95%,0.36,Sell,2.659M,99.439B,12.31,3.15,107.776K,Energy_Minerals
78,RY,69.84,−1.51%,−1.07,Buy,4.841M,99.39B,12.62,5.63,85K,Finance
79,BA,173.76,−1.52%,−2.69,Sell,28.548M,98.057B,—,−6.05,161.1K,Electronic_Technology
80,HSBC/PA,25.87,−0.23%,−0.06,Buy,46.138K,95.608B,140.35,0.19,235K,Finance
81,HSBC,23.24,−0.47%,−0.11,Sell,2.421M,95.11B,26.13,0.90,235K,Finance
82,SNE,76.46,0.05%,0.04,Buy,535.502K,93.245B,18.01,4.34,111.7K,Consumer_Durables
83,GILD,73.64,−2.54%,−1.92,Sell,8.149M,92.372B,19.42,3.92,11.8K,Health_Technology
84,MMM,159.84,0.35%,0.55,Strong_Buy,2.525M,91.939B,18.70,8.62,96.163K,Producer_Manufacturing
85,HDB,50.25,0.20%,0.10,Buy,2.584M,91.779B,23.42,2.16,116.971K,Finance
86,BUD,54.53,−0.04%,−0.02,Buy,1.086M,89.101B,12.05,4.65,171.915K,Consumer_Non-Durables
87,FIS,143.70,−0.89%,−1.29,Buy,2.436M,88.783B,272.79,0.54,55K,Technology_Services
88,SBUX,75.78,0.56%,0.42,Buy,5.673M,88.519B,26.84,2.84,346K,Consumer_Services
89,BLK,570.62,−1.30%,−7.53,Buy,421.653K,86.997B,20.32,28.68,16.2K,Finance
90,DEO,143.55,−0.91%,−1.32,Buy,259.711K,84.546B,22.17,6.56,28.15K,Consumer_Non-Durables
91,UN,58.62,0.76%,0.44,Strong_Buy,1.853M,84.517B,23.44,2.49,149.867K,Consumer_Non-Durables
92,SPGI,349.97,0.49%,1.71,Buy,860.886K,84.308B,36.38,9.63,22.5K,Commercial_Services
93,CVS,63.34,−0.71%,−0.45,Sell,6.437M,82.791B,11.55,5.54,290K,Retail_Trade
94,AMD,69.40,16.50%,9.83,Strong_Buy,205.315M,81.281B,143.75,0.43,11.4K,Electronic_Technology
95,TD,45.05,−1.31%,−0.60,Buy,1.48M,81.225B,11.14,4.10,—,Finance
96,NOW,425.19,−1.31%,−5.66,Buy,1.004M,81.085B,126.23,3.58,10.371K,Technology_Services
97,BTI,34.60,−0.72%,−0.25,Sell,1.908M,79.665B,10.97,3.19,59.989K,Consumer_Non-Durables
98,JD,60.88,0.59%,0.36,Sell,11.671M,79.26B,106.44,0.58,227.73K,Retail_Trade
99,MS,50.18,−0.75%,−0.38,Buy,6.861M,79.067B,9.13,5.61,60.431K,Finance
